t_s,mx_uT,my_uT,mz_uT
58.776,39.690753006719525,11.528307542462157,-37.95657659845584
58.777,39.836448992521596,11.164985375869605,-37.75849383301549
58.778,40.23393479842541,11.142272602802331,-37.73150658054919
58.779,40.15951001394988,11.337544191411016,-37.73008117188906
58.78,40.179090474763505,10.787303251845813,-37.57719706703289
58.781,40.54372446416559,11.086011434305776,-37.58819872943914
58.782000000000004,40.6440058537898,11.010372943681363,-37.59357619031028
58.783,40.758125799057076,10.453380822586885,-37.55642819101767
58.784,40.89358031824427,10.628879869731678,-37.57640461071585
58.785000000000004,40.908211589490556,10.484571935549004,-37.401084398490966
58.786,41.081867331642535,10.24903511088109,-37.434684630194354
58.787,41.3134923822374,10.088970518579766,-37.20963605301515
58.788000000000004,41.213828508514275,10.210799431408622,-37.15785713455903
58.789,41.379212625457534,9.852645913131814,-37.25626232608979
58.79,41.743417961633064,9.788095252017325,-37.134627594110476
58.791000000000004,41.78371663722359,9.66178422308743,-37.112859133726666
58.792,41.80736667281171,9.69969157595097,-37.144052240674704
58.793,42.03478877602576,9.405800709095287,-36.92726696908694
58.794000000000004,42.22185245131476,9.59775506134165,-36.697389656137595
58.795,42.19696639132075,9.114532198008956,-36.77513269357768
58.796,42.21578219168237,9.428588076902951,-36.71332295417534
58.797000000000004,42.515936800205104,9.048103301212775,-36.687867228579016
58.798,42.55502482561583,8.806550725580694,-36.68264161411954
58.799,42.809187639928645,8.592772415081111,-36.466077105320984
58.800000000000004,42.994177232817506,8.612019895384517,-36.515562433220616
58.801,42.90254084434084,8.490304198987223,-36.37707759210059
58.802,42.95367562645028,8.294962822518478,-36.31618946605005
58.803000000000004,43.39160427720252,8.3278219801858,-36.13700059499763
58.804,43.30233682335609,8.281190438979321,-36.15791219776625
58.805,43.38390376514192,8.11356143223728,-36.1558637336493
58.806000000000004,43.59572343169817,7.710246670692556,-36.08757847155561
58.807,43.68796970650679,7.73069627809357,-36.11849519057644
58.808,43.68565191888179,7.573542938096372,-35.90296741346854
58.809000000000005,43.75860314899688,7.533464829328305,-35.85317702620139
58.81,43.769484957436795,7.2977558527929265,-35.716078610508546
58.811,44.15259279590444,7.596440884686186,-35.73811405890494
58.812000000000005,44.03348456100233,7.235916326739658,-35.742010533055165
58.813,44.21265559364202,7.161828117250423,-35.56535133428883
58.814,44.36210283547092,6.779636365115096,-35.623139505714114
58.815,44.510191155322,6.748940125287129,-35.418129165899764
58.816,44.60095417738617,6.894698303550026,-35.58859666959365
58.817,44.67502550379819,6.743508838599091,-35.19300888543793
58.818,44.772910851104804,6.465840611144943,-35.22346130961418
58.819,44.96111245548199,6.1883424348797735,-35.39314828211078
58.82,45.07918415127459,6.085954760619703,-35.0915314404934
58.821,45.03277209437225,6.274139356605102,-35.05145633868846
58.822,45.19729035739409,5.949441897608806,-34.756182809842755
58.823,45.47074178840867,5.97839095872273,-34.80319247255251
58.824,45.41765082470898,5.727045396022944,-34.78838287908187
58.825,45.74177890206223,5.509969491612099,-34.72409897525522
58.826,45.67180175997466,5.561327604575719,-34.803058227095235
58.827,45.748359643195855,5.555407429624549,-34.63085204133221
58.828,45.98414562355189,5.347280106058694,-34.43019981880614
58.829,45.89294295941956,5.264696478094908,-34.4082656790179
58.83,45.955311874781444,5.200295309956371,-34.316593643213494
58.831,45.884918100099824,4.763443706743528,-34.274786498783214
58.832,46.1380463767133,4.842492893619249,-34.28159226338624
58.833,46.145108424435996,4.651404730446599,-34.0279293236308
58.834,46.424364524369636,4.624160891853973,-33.767717739874094
58.835,46.3035620633097,4.288545255825616,-34.08224438694194
58.836,46.706516805045425,4.553111626433156,-33.98192650962008
58.837,46.77498954010457,4.293663536433379,-34.01885348917635
58.838,46.890546727734844,4.1138814564484685,-33.813496688572485
58.839,46.761223945594814,4.129189369790999,-33.70833642962453
58.84,46.84273590489958,3.8567154748069212,-33.594460513356026
58.841,46.986973355657796,3.833487937526075,-33.64484694499303
