t,mx_uT,my_uT,mz_uT
18.830000000000002,-10.934965059474965,-33.79081994077716,-36.57925380242794
18.84,-10.0734405479042,-33.764183452634775,-37.10522732143378
18.85,-9.04761075177742,-33.72948941188617,-37.429376297294496
18.86,-7.702548407179554,-33.5556179606207,-37.954911067660845
18.87,-6.791523696890333,-33.39915428079345,-38.19963313405152
18.88,-5.607257526305913,-33.15909206117309,-38.79759459620771
18.89,-4.579092892409516,-33.175231285127566,-39.006274509249224
18.900000000000002,-3.2732726461304598,-32.774304414712375,-39.60942562228603
18.91,-2.0199124944116,-32.428010276834435,-40.06130289927392
18.92,-1.1528228689628033,-32.313923711301385,-40.41466474304652
18.93,0.13993775145823117,-31.900718375581775,-40.81850759488095
18.94,1.0411863448657868,-31.352546826000545,-41.358053163469336
18.95,2.336991168781182,-30.94650391994901,-41.716609502119425
18.96,3.34692826666467,-30.232281422840614,-42.31385261623297
18.97,4.638532624007983,-29.763687874504413,-42.59627520413762
18.98,5.510776708679833,-29.283372573121643,-43.11906228339312
18.990000000000002,6.5795793239961915,-28.407350271472083,-43.52456147475181
19.0,7.662148688098511,-27.653145323421395,-43.640023876867986
19.01,8.67556038150462,-27.077847239914462,-44.31805193637342
19.02,9.74889985992328,-26.05866900021049,-44.777570496515295
19.03,10.829616948954037,-25.44389649140746,-45.10973818946388
19.04,11.597552446442508,-24.527206931068978,-45.60963636035385
19.05,12.47999025906969,-23.54185894885459,-45.86048388619887
19.06,13.29913609901865,-22.70137037885726,-46.09851862190454
19.07,14.33614551035381,-21.556764221331953,-46.524818095406744
19.080000000000002,15.118039062142616,-20.741160883295013,-46.67121422646278
19.09,15.814846737597842,-19.831121694529262,-46.919352172661796
19.1,16.531070632551614,-18.55699899825563,-47.31369492912934
19.11,17.22086284410357,-17.627345125090915,-47.39469674802405
19.12,17.629573364678922,-16.38586852784794,-47.656222017585456
19.13,18.35051805357054,-15.270392751620927,-47.92495700939682
19.14,18.93755143806452,-14.14170290778421,-48.317155167375816
19.150000000000002,19.37643865482648,-12.740356596558946,-48.39000685820594
19.16,19.98439845785499,-11.866128031826376,-48.59690722520899
19.17,20.334139791835675,-10.575814781547459,-48.82612946592305
19.18,20.908691243025192,-9.299771341750487,-48.8129840892708
19.19,21.13735811709232,-8.20664362608121,-48.90410675272984
19.2,21.400294434820704,-6.927335862803882,-48.85202060795729
19.21,21.58394122065225,-5.812572307264036,-49.10630174168773
19.22,21.819656203782234,-4.407488354998908,-49.258205244917086
19.23,21.959864075838308,-3.146014593343725,-49.22729881121247
19.240000000000002,22.012938465946362,-1.7799115923661275,-49.01389094733796
19.25,21.918560900043552,-0.5409289979130536,-49.150545812437564
19.26,21.967953139414426,0.5771732971757549,-49.05998536195215
19.27,21.857059138063473,1.8326192432827297,-49.0622305493949
19.28,21.844428562883966,2.9297126239148916,-48.853371786000885
19.29,21.494227887907112,3.9925245505056144,-48.71336666965206
19.3,21.64209530295693,5.319313011961952,-48.61037954430033
19.31,21.160913044538404,6.3211940950284085,-48.575508630242346
19.32,21.02651619011239,7.808827425500175,-48.23553567256493
19.330000000000002,20.68628552024812,8.817462853596659,-48.132637615649685
19.34,20.324797253521382,9.953361652804121,-48.06700138039056
19.35,19.86358079069124,11.20503338353398,-47.589451797549714
19.36,19.542624803469057,12.067086982315654,-47.682821123695426
19.37,19.04860197204148,13.13214806022202,-47.28010303439218
19.38,18.66830389555008,14.156839990497105,-47.020049158242365
19.39,17.978874711606494,15.251397994812402,-46.75086857271454
19.400000000000002,17.288162086951665,16.069187568132637,-46.38101473144019
19.41,16.860860425278062,16.999950739172828,-46.164415059257145
19.42,16.296339329743017,18.013185485848783,-45.75295960506942
19.43,15.667671499159527,18.762001136305322,-45.47548242127001
19.44,14.895329903549616,19.94126692316874,-45.10073252491648
19.45,14.317124629299277,20.53937075711017,-44.92882816333949
19.46,13.525914625572266,21.436599534406117,-44.47539568928109
19.47,12.607051093299772,21.895846240796974,-43.95252381692721
19.48,11.924851121940643,22.84719560779375,-43.74237267012396
19.490000000000002,11.28907310857419,23.37308757304008,-43.42664757240708
19.5,10.432705066155114,23.946149968280842,-43.218388138850955
19.51,9.720502322984968,24.526667463683676,-42.73197310200572
19.52,8.88132010074315,25.142635716193663,-42.57989073007662
19.53,8.003452782896668,25.59374924357628,-42.0130949970081
19.54,7.203430978666957,26.396204917802564,-41.62345599221484
19.55,6.304216499595653,26.600356460013984,-41.10941469468527
19.56,5.725285339328394,27.1209015490321,-40.88538569040311
19.57,4.962050198214121,27.67110767240182,-40.46005779082369
19.580000000000002,3.8534379238239986,28.0299462597078,-40.21647172960484
19.59,3.1881979330541017,28.02119282413862,-39.75688206115192
19.6,2.4694401689975276,28.73088856237751,-39.51135956057396
19.61,1.8777612066653797,29.039231225715035,-39.03065110776583
19.62,0.9471144309989941,29.289347388303565,-38.9422642811944
19.63,0.04683697976332887,29.182980015115422,-38.35234879143998
19.64,-0.8267886059315004,29.67159044602645,-38.060861742764224
19.650000000000002,-1.453672266656156,29.918761586537496,-37.56454186295177
19.66,-2.1510873085206135,30.075125013562964,-37.44772476215881
19.67,-2.897740681572214,30.211416378799658,-37.18953598044166
19.68,-3.555708971357249,30.308625239254894,-36.87694223868118
19.69,-4.14427930491984,30.50439865570628,-36.911244966534454
19.7,-4.960035580221376,30.530767780212383,-36.34089196331235
19.71,-5.460847387243056,30.62456778818945,-36.27337853846844
19.72,-6.383964476360866,30.768152110099184,-35.93458379460782
19.73,-6.578870287312291,30.69075819512582,-35.564741169225734
19.740000000000002,-7.3697675447855335,30.60806127488996,-35.44071187310246
19.75,-7.907003355205457,30.547600495935026,-35.347277744395015
19.76,-8.412733034857723,30.558879024399985,-35.08203034003767
19.77,-9.166314484325001,30.72757441083297,-34.93681507337158
19.78,-9.675796806531782,30.503026886065566,-34.610879367155356
19.79,-9.940477621449404,30.804889375967544,-34.54110336475899
19.8,-10.57524559890404,30.515474494126977,-34.586904746310324
19.81,-10.997943478956062,30.63777494204911,-34.233709580027224
19.82,-11.37939810432249,30.518457215399852,-34.250003112635284
19.830000000000002,-11.85569149346108,30.496090311804057,-33.977469425821866
19.84,-12.03971467613349,30.40546467743034,-33.68308879447158
19.85,-12.690164931874135,30.303023483754707,-33.95163614511412
19.86,-12.550928563382984,30.284911427833443,-33.74916499315976
19.87,-12.963650311726239,30.125680141798526,-33.684305399992915
19.88,-13.125113500455555,30.328018575276946,-33.633416230560314
19.89,-13.371165713685562,29.967209656869773,-33.74714011983162
19.900000000000002,-13.688493359809522,29.81222100050456,-33.5683358946672
19.91,-13.894923536362361,29.896456012372592,-33.53446270924851
19.92,-14.023848296227923,29.757816159497718,-33.52269981637224
19.93,-14.301996346341205,29.744746053863327,-33.563025104858056
19.94,-14.427016223551586,29.641197744699245,-33.40453604034242
19.95,-14.157285887575535,29.714144790512737,-33.4954743855766
19.96,-14.205374382411598,29.597365262449333,-33.5210268075457
19.97,-14.235353142603632,29.64604023099423,-33.62331640631837
19.98,-14.185318451262141,29.65788121355105,-33.67155614644853
19.990000000000002,-14.178976005384923,29.748572569094087,-33.6476564612964
20.0,-14.090651259455862,29.73025166851045,-33.751288135503195
20.01,-13.970325505124864,29.75069911856724,-33.64110949153955
20.02,-13.946728143687313,29.81243436847366,-33.83790357791241
20.03,-13.691475716980637,29.946412307670613,-33.85037686608437
20.04,-13.517894848174368,29.78172937644524,-33.80351772444514
20.05,-13.277980720998936,29.77702225130146,-33.915299342461985
20.06,-13.03920335848904,29.894404767699875,-34.046771441545914
20.07,-12.507575148173203,29.97186256630586,-34.07473668481868
