t,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,mx_uT,my_uT,mz_uT
215.85,0.008989448408811941,-0.005801768992990198,0.0035788576041289924,0.19958226058576795,-0.10911985382808109,-9.487209250782064,37.60003641459566,-5.5329556649504665,45.88248950254006
215.86,0.008424071454526906,-0.005937001432242529,0.0032323246702221317,0.2138452027842536,-0.08691941759210978,-9.492738564231262,37.38366891775777,-5.621391747601534,45.976457485923675
215.87,0.008407010989466793,-0.005917545206148468,0.0030346851826650537,0.22159324928807209,-0.09020564692034386,-9.483808791619296,37.59011031862631,-5.49819507160073,45.81575828398632
215.88,0.00838162618884578,-0.005927206030683539,0.0038865124984702295,0.19497907096311057,-0.11289801360529243,-9.494133876210405,37.53047473973872,-5.613348105820634,45.965127169678986
215.89000000000001,0.008229381134630736,-0.005348196173759044,0.0033960154825100944,0.22489587506709235,-0.09588015262395473,-9.498688109520106,37.398898640670225,-5.5759118080462455,45.939421685175965
215.9,0.008970530558539117,-0.005781679819421336,0.0032560796652016007,0.21655288858183752,-0.10221198951159068,-9.493378316178381,37.42079205359801,-5.542523735753249,45.72490401661589
215.91,0.00881832197723243,-0.006391668364030414,0.002804719577144914,0.21911498837400878,-0.11131395376714862,-9.484879747633533,37.58695763253121,-5.5542788641403495,45.86246430960904
215.92000000000002,0.008439040309641333,-0.006786524551819748,0.0033096571249516533,0.19632934190812934,-0.09535326534032082,-9.487070308939856,37.53172735049677,-5.500466147358165,45.88366470604711
215.93,0.009496230173910557,-0.005842889259863879,0.0032351192163709215,0.2215890742069731,-0.10113900638840588,-9.489982502117451,37.562888501871356,-5.454533876228952,45.90757074453653
215.94,0.008747482685453173,-0.005572516569819581,0.003804316893635364,0.2117270058489152,-0.0911826823817803,-9.49608491411017,37.544298046097985,-5.428900695708428,45.8935073929004
215.95000000000002,0.008076645662057281,-0.00542543462589711,0.0031041278421113897,0.2136135680261505,-0.08817498692314259,-9.481002237523338,37.541231375576466,-5.622363963395227,45.903038575676554
215.96,0.009289921426942295,-0.006348718279200485,0.004156387581485289,0.20719580510704644,-0.08966081488578032,-9.502170787092483,37.29674497880889,-5.560624991723217,45.9728018071971
215.97,0.008569242992284518,-0.004879163214190615,0.004099082278479329,0.22138034592865866,-0.10276046495227212,-9.48938843580264,37.70717252689646,-5.563514371469981,45.96068784625225
215.98000000000002,0.008135562743762797,-0.006043236867317628,0.003432513575014865,0.19440373379782253,-0.08750792159242815,-9.487331045461886,37.45243517601839,-5.646069832255153,45.88111922962659
215.99,0.008178280748965979,-0.006153234085501307,0.0032058029114782065,0.2112494430416717,-0.10997565504272562,-9.50544218561989,37.62632796657405,-5.590044261879835,46.0128669589065
216.0,0.008909060514039419,-0.005320832702496033,0.003068847754421242,0.20839151462175062,-0.09518676086989997,-9.485301061308554,37.381915404582664,-5.5373309752595885,45.994429290073796
216.01,0.00797305987307921,-0.0058915132552254685,0.0038577829218773433,0.2144833884837723,-0.09250543081091792,-9.485782887053336,37.47432287508637,-5.511087530937816,45.913620777155785
216.02,0.00842111539613046,-0.006506500357503271,0.003270279261772302,0.20342951473664284,-0.09302942662923978,-9.474793967793406,37.60028543738535,-5.625164380206831,45.854704360680266
216.03,0.00843500887120212,-0.006077153059160175,0.003084182698241229,0.2323361626740135,-0.09442732509497377,-9.482198593034495,37.45788359759062,-5.411955372580563,45.81829143012906
216.04,0.009003361660809952,-0.0054115022004594185,0.003317950675072213,0.20463197934835672,-0.094908794213422,-9.48185309373939,37.42566630625905,-5.611539543538749,45.7125356436227
216.05,0.008596765395560731,-0.0056029347142760345,0.002775501324935417,0.20227057276975116,-0.10762802565483948,-9.48478611743682,37.596293073692365,-5.5155531735378,45.814964806023134
216.06,0.008418097399558627,-0.006023705436725247,0.0032700920891146515,0.20922099778008077,-0.09754083037937686,-9.497454339263566,37.44713296134913,-5.708587227008849,45.749054597016695
216.07,0.008363339430326484,-0.005389896201022557,0.0029715528359556126,0.22550418784442383,-0.08922090808975998,-9.487085109079347,37.44534379559799,-5.615474324695287,46.017061426285686
216.08,0.008792895747545632,-0.006068530655153439,0.0031205627629703006,0.2131798979121892,-0.10787322387303305,-9.490960677787312,37.35671621403827,-5.476143691749216,45.741349754422906
216.09,0.008810406736942843,-0.00587619793197018,0.0028660359566729148,0.2007883849428637,-0.0926516274887687,-9.485784762328135,37.45311531479125,-5.4508994717479915,45.92053609121008
216.1,0.0072503321404951806,-0.005016725001666632,0.002996851654744101,0.2267370061970727,-0.09493867814741076,-9.496122816326507,37.519779595320095,-5.484069138876398,46.1100320142555
216.11,0.008051402825846158,-0.005872461782501151,0.002525899503949628,0.21211099367429437,-0.11013228839999249,-9.491904020323295,37.34863155143724,-5.448402644424694,45.92879889608597
216.12,0.008609035377653508,-0.00567140467930963,0.0036113696203325745,0.21295738510941922,-0.08901283711168077,-9.479108559405397,37.56278456930263,-5.509187475158658,45.74888072553673
216.13,0.008966204949453676,-0.005646912949355024,0.0028810426761477544,0.20738117808211814,-0.08276545341755481,-9.483921960154117,37.4707413595138,-5.6176411008317455,45.92184737858013
216.14000000000001,0.008608205872760493,-0.005645792872893475,0.003199825587217963,0.2190581273943179,-0.0732233107391219,-9.494755970059705,37.48067554827529,-5.6468710586645345,45.88195101011643
