t,roll_true_deg,pitch_true_deg,yaw_true_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_g,ay_g,az_g,mx,my,mz,temp_c
23.02,-138.095774088517,-72.43719333862582,-151.39849795932895,-0.22679311619651324,0.19110574879137454,0.4321881472987624,-0.9285977778556853,0.20111353652855588,0.2421131114211103,-0.6263387032692866,-0.781397134314324,-0.16774875725083335,29.56585985625696
23.03,-137.42204561849687,-72.35628744972382,-152.24777499278528,-0.23011861449439985,0.19381629133955658,0.42516615250391204,-0.9501354084609972,0.21413638302351942,0.23139631861290808,-0.6297063530435087,-0.7643686888311645,-0.14947687887612415,29.566878221664165
23.04,-136.75440712743793,-72.27280616445721,-153.09336447321155,-0.23280792001229694,0.1935250357334754,0.43362954446530444,-0.9358785361880209,0.20555067628479518,0.22605578531859297,-0.6082410289753615,-0.7704818749152477,-0.1640430884328966,29.567895445351837
23.05,-136.0930018010989,-72.18676447293066,-153.935119399102,-0.23641390621462283,0.19933947820240633,0.4367780189184288,-0.9413339341505652,0.17698674617068846,0.21086416624482857,-0.6295563779292037,-0.7657205203638575,-0.1391650914575468,29.568911527065673
23.06,-135.4379658990093,-72.09817833896022,-154.77289962774205,-0.24482898814083295,0.20317644515625377,0.4331711976656998,-0.9630881510094974,0.22836562624104448,0.23287499260722833,-0.6201628200942898,-0.7708530907319454,-0.15432509244183484,29.56992646655165
23.07,-134.7894286820791,-72.00706465949361,-155.60657194818003,-0.24850997506155234,0.19693749227743393,0.4346880296339106,-0.9633940653441458,0.2350175850092287,0.20894835638914624,-0.6317986003031434,-0.7689193063803832,-0.15230553406150307,29.570940263556036
23.080000000000002,-134.14751236317787,-71.91344122340792,-156.4360101312218,-0.25133948427232233,0.20372762227418537,0.43849423288899086,-0.9572777024391709,0.22321055961341077,0.20912768635182105,-0.6270479714024703,-0.758990035477205,-0.1702309182827221,29.571952917825378
23.09,-133.51233207996785,-71.81732666985503,-157.2610949571651,-0.2532533763436677,0.19830360118690443,0.43625473239523904,-0.9403222809358383,0.22837592818532118,0.2291229732640934,-0.6391682992310326,-0.758535195939624,-0.1806415914531357,29.572964429106516
23.1,-132.88399588917278,-71.71874044632078,-158.0817142220917,-0.2582022952524071,0.20929529373199185,0.43792729411319764,-0.9583111715257129,0.21475295344737413,0.18948766077330548,-0.6465679222109789,-0.7432160450953352,-0.17718840129848099,29.57397479714657
23.11,-132.2626047813744,-71.61770276655491,-158.89776272362312,-0.26340122456803916,0.20362556118567526,0.4396549842131017,-0.9501924390585268,0.22397739550727508,0.2074603267107823,-0.6190519300313979,-0.7354459240226848,-0.16171847967832778,29.57498402169295
23.12,-131.64825271535508,-71.51423456852456,-159.70914222712395,-0.26921912427122485,0.20714271188106892,0.43701141453955455,-0.9402448541983106,0.2528233602001187,0.2156064499819263,-0.6526599066360492,-0.7510547054450027,-0.17372220862739343,29.575992102493345
23.13,-131.04102667093738,-71.40835747253334,-160.5157614134005,-0.26647289738507063,0.2095941557509658,0.439780171396778,-0.9470630870215252,0.24450392149322644,0.22007708970089873,-0.6404352259443695,-0.7409791385699909,-0.18397769109695813,29.576999039295742
23.14,-130.44100671922158,-71.30009373964238,-161.31753580899277,-0.2722988536785214,0.20886369786308345,0.4381012312803139,-0.9390514581665348,0.23331607914886726,0.22017835449006773,-0.6500287788137517,-0.7297572270122495,-0.1807125370225231,29.5780048318484
